Rank,Word,Frequency,POS
"3","วินาที","second",""
"2","นาที","minute",""
"2","ชั่วโมง","hour",""
"0","วัน","day",""
"2","อาทิตย์","week",""
"2","สัปดาห์","week (formal)",""
"1","เดือน","month",""
"1","ปี","year",""
"5","ทศวรรษ","decade",""
"7","สหัสวรรษ","millennium",""
