Rank,Word,Frequency,POS
"7","ผัดไทย","pad thai",""
"6","ข้าวผัด","fried rice",""
"5","แกง","curry",""
"7","แกงเขียวหวาน","green curry",""
"10","แกงเหลือง","yellow curry",""
"10","แกงมัสมั่น","massaman curry",""
"5","ส้มตำ","papaya salad",""
"5","ก๋วยเตี๋ยว","Thai noodle soup",""
"6","ขนมจีน","Thai vermicelli",""
"6","ข้าวมันไก่","chicken rice pilaf",""
