Rank,Word,Frequency,POS
"2","ดนตรี","music",""
"2","โน้ต","note",""
"4","เครื่องดนตรี","musical instrument",""
"7","เครื่องสาย","string instrument",""
"6","แตร","horn",""
"5","แคน","reed pipe",""
"6","ขลุ่ย","flute",""
"6","ปี่","oboe",""
"3","ซอ","fiddle",""
"6","ขิม","dulcimer",""
"5","กลอง","drums",""
"5","เปียโน","piano",""
"5","คีย์บอร์ด","keyboard",""
"7","ไวโอลิน","violin",""
"12","หีบเพลงชัก","accordion",""
"12","หีบเพลงปาก","harmonica",""
