Rank,Word,Frequency,POS
"3","ผู้บริหาร","administrator",""
"3","ที่ปรึกษา","advisor",""
"4","นักธุรกิจ","businessman",""
"6","ซีอีโอ","chief executive",""
"5","ผู้จัดการทั่วไป","general manager",""
"4","เลขา","receptionist",""
"4","เลขานุการ","secretary",""
