Rank,Word,Frequency,POS
"3","บวก","add",""
"1","ลบ","subtract",""
"4","หาร","divide",""
"5","คูณ","multiply",""
"3","เท่ากับ","equals",""
"5","สมการ","equation",""
"7","ผลบวก","sum",""
"7","ผลต่าง","difference",""
"9","ผลคูณ","product",""
"11","ผลหาร","quotient",""
"10","เศษเหลือ","remainder",""
"3","เฉลี่ย","average",""
"10","รากที่สอง","square root",""
