Rank,Word,Frequency,POS
"3","อธิบาย","to explain",""
"1","แจ้ง","to inform",""
"3","ชี้แจง","to clarify",""
"9","อรรถาธิบาย","to expound",""
"5","พากย์","to narrate",""
"3","ย้ำ","to repeat (for emphasis)",""
"1","ขอ","to request",""
"3","ร้องเรียน","to petition",""
"4","ขอร้อง","to implore",""
"4","เจรจา","to negotiate",""
"5","ทวง","to ask for (something owed)",""
