Rank,Word,Frequency,POS
"5","ห้องครัว","kitchen",""
"5","ห้องนั่งเล่น","family room",""
"4","ห้องน้ำ","bathroom",""
"4","ห้องนอน","bedroom",""
"3","ห้องสมุด","library",""
"11","ห้องกินข้าว","dining room (informal)",""
"9","ห้องรับประทานอาหาร","dining room (formal)",""
"7","โรงรถ","garage",""
