Rank,Word,Frequency,POS
"5","ถั่ว","nut",""
"5","ถั่ว","bean",""
"7","ถั่วงอก","bean sprouts",""
"6","ถั่วเหลือง","soybean",""
"7","ถั่วฝักยาว","long bean",""
"9","ถั่วลันเตา","pea",""
"7","ถั่วลิสง","peanut",""
