Rank,Word,Frequency,POS
"3","วันอาทิตย์","Sunday",""
"3","วันจันทร์","Monday",""
"3","วันอังคาร","Tuesday",""
"3","วันพุธ","Wednesday",""
"5","วันพฤหัส","Thursday",""
"3","วันพฤหัสบดี","Thursday (formal)",""
"3","วันศุกร์","Friday",""
"3","วันเสาร์","Saturday",""
