Rank,Word,Frequency,POS
"4","พ่น","to spray",""
"5","โรย","to sprinkle",""
"6","จุ่ม","to dip (in a liquid)",""
"2","ถุย","to spit",""
"3","คาย","to spit out",""
"4","ปั๊ม","to pump (informal)",""
"4","สูบ","to pump",""
"4","สาด","to throw (liquid)",""
"6","คั้น","to press (extract liquid)",""
"4","ตัก","to scoop",""
