Rank,Word,Frequency,POS
"7","อะคริลิก","acrylic",""
"5","อลูมิเนียม","aluminum",""
"5","ไม้ไผ่","bamboo",""
"7","กระดาษแข็ง","cardboard",""
"6","ปูนซีเมนต์","cement",""
"9","ชอล์ก","chalk",""
"7","ดินเหนียว","clay",""
"3","ผ้า","cloth",""
"5","ถ่านหิน","coal",""
"5","ทองแดง","copper",""
"5","ฝ้าย","cotton",""
"4","เพชร","diamond",""
"3","น้ำมัน","gasoline",""
"3","แก้ว","glass",""
"4","ทองคำ","gold",""
"3","เหล็ก","iron",""
"3","งา","ivory",""
