Rank,Word,Frequency,POS
"3","หน","time",""
"1","ครั้ง","time",""
"2","ที","time",""
"3","คราว","time",""
"4","ครู่","moment",""
"4","แป๊บ","moment",""
"3","ชั่ว","time period",""
