Rank,Word,Frequency,POS
"6","ฟองน้ำ","sponge",""
"7","ผ้าเช็ดตัว","towel",""
"7","กระดาษชำระ","toilet paper",""
"5","สบู่","soap",""
"10","ผ้าเช็ดมือ","hand towel",""
"7","มีดโกน","razor",""
"7","ตาชั่ง","scale",""
