Rank,Word,Frequency,POS
"2","นก","bird",""
"4","รัง","nest",""
"6","รังนก","bird's nest",""
"9","กรงนก","birdcage",""
"4","ปีก","wing",""
"10","ปากนก","beak",""
"3","ไก่","chicken",""
"11","ไก่ตัวผู้","rooster",""
"11","ไก่ตัวเมีย","hen",""
"9","ไก่งวง","turkey",""
"4","เป็ด","duck",""
"6","ห่าน","goose",""
"4","หงส์","swan",""
"3","ขัน","to crow",""
