Rank,Word,Frequency,POS
"1","หา","to seek",""
"1","ค้นหา","to search",""
"4","จัดหา","to seek",""
"4","ซ่อน","to hide",""
"2","แอบ","to hide (intransitive)",""
"4","หลบ","to hide from",""
"4","แฝง","to be hidden",""
"5","แอบแฝง","to be hidding (elegant)",""
"3","สืบ","to inquire after",""
"4","มองหา","to look around for",""
"1","พบ","to find",""
"5","หาไม่เจอ","to be unable to find",""
"3","หลีกเลี่ยง","to avoid",""
