Rank,Word,Frequency,POS
"1","เห็น","to see",""
"1","ดู","to watch",""
"2","มอง","to look",""
"4","มองเห็น","to be able to see",""
"5","มองไม่เห็น","to be unable to see",""
"4","มองหา","to look for",""
"5","มองข้าม","to overlook",""
"3","สังเกต","to notice",""
"3","เฝ้า","to watch over",""
"6","เพ่ง","to watch intently",""
"4","จ้อง","to stare",""
"2","ตรวจ","to inspect",""
"2","เจอ","to meet",""
"1","พบ","to encounter",""
