Rank,Word,Frequency,POS
"3","แต่งงาน","to marry",""
"5","หย่า","to divorce",""
"4","กอด","to hug",""
"4","จีบ","to flirt",""
"1","รัก","to love",""
"4","เกลียด","to hate",""
"5","เลิกกัน","to break up",""
"4","ง้อ","to reconcile",""
"5","งอน","to sulk",""
